CIK,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph,FFI49,FFI30,FFI12
26058,"December 31, 2020",13,3,0,10,2,80,37,23,6
26172,12/31/2020,50,16,0,24,6,198,21,13,3
26324,31-Dec-20,26,3,0,13,1,127,24,16,3
26780,31-Dec-20,39,6,0,22,6,204,23,15,2
27419,30-Jan-21,25,14,0,9,0,21,43,27,9
27904,"December 31, 2020",117,0,9,30,0,260,41,25,12
27996,31-Dec-20,64,4,6,39,1,54,8,5,1
28412,31-Dec-20,28,4,0,14,3,79,45,29,11
28823,31-Dec-20,19,11,0,13,4,191,35,23,6
29002,"December 31, 2020",11,2,0,17,1,142,37,23,6
29332,12/26/2020,19,3,2,20,0,6,16,10,1
29534,29-Jan-21,31,10,0,16,5,46,43,27,9
29644,"July 31, 2020",18,3,0,14,2,63,23,15,2
29669,"December 31, 2020",30,11,1,16,5,107,34,5,3
29905,"December 31, 2020",48,16,1,33,7,178,21,13,3
29989,"DECEMBER 31, 2020",57,0,2,26,0,111,34,22,12
30305,31-Dec-20,18,5,0,9,2,67,24,16,3
30625,31-Dec-20,39,14,0,26,9,236,21,13,3
30697,3-Jan-21,55,10,0,16,1,148,44,28,9
31107,2-Jan-21,14,3,0,11,2,44,17,11,3
31235,NONE,21,7,11,28,0,79,35,23,6
31462,31-Dec-20,30,6,0,21,2,244,9,6,5
31667,NONE,5,0,0,2,0,12,42,26,9
31791,1/3/2021,29,9,0,14,6,112,38,23,6
32604,"September 30, 2020",17,2,2,12,1,141,38,23,6
32621,NONE,13,4,0,20,3,48,6,4,2
33002,NONE,24,6,1,9,0,28,39,24,3
33185,"December 31, 2020",26,0,1,8,0,101,34,22,12
33213,"DECEMBER 31, 2020",8,3,0,20,0,21,31,20,8
33488,26-Dec-20,13,9,2,10,2,41,6,4,1
33533,NONE,1,2,0,2,1,9,37,23,6
33992,31-Dec-20,9,0,0,7,0,15,46,29,11
34067,31-Dec-20,31,5,0,18,3,110,21,13,3
34088,31-Dec-20,10,0,0,33,0,105,30,19,4
34563,30-Jun-20,41,20,3,18,1,24,2,1,1
34782,31-Dec-20,31,1,1,14,0,34,45,29,11
34903,12/31/2020,54,1,1,12,0,12,48,29,11
34956,NONE,12,1,0,12,1,21,13,8,10
35214,31-Dec,5,2,0,15,0,76,14,9,5
